pulocationid,time_bin_label,avg_requests
25,18:00,6.625
25,18:15,6.285714285714286
25,18:30,8.875
25,18:45,7.625
25,19:00,6.875
25,19:15,6.625
25,19:30,6.25
25,19:45,9.285714285714286
33,18:00,6.625
33,18:15,8.75
33,18:30,8.0
33,18:45,7.75
33,19:00,6.0
33,19:15,7.0
33,19:30,6.75
33,19:45,9.5
45,18:00,2.142857142857143
45,18:15,2.4285714285714284
45,18:30,3.5714285714285716
45,18:45,3.2857142857142856
45,19:00,3.625
45,19:15,3.4285714285714284
45,19:30,3.625
45,19:45,2.5
65,18:00,8.875
65,18:15,10.125
65,18:30,11.0
65,18:45,7.5
65,19:00,7.25
65,19:15,8.375
65,19:30,10.25
65,19:45,7.0
66,18:00,7.125
66,18:15,6.75
66,18:30,8.0
66,18:45,7.5
66,19:00,5.5
66,19:15,5.75
66,19:30,7.142857142857143
66,19:45,6.875
87,18:00,3.5
87,18:15,5.75
87,18:30,4.857142857142857
87,18:45,5.375
87,19:00,4.75
87,19:15,6.375
87,19:30,5.375
87,19:45,4.714285714285714
88,18:00,3.0
88,18:15,2.75
88,18:30,3.5
88,18:45,3.0
88,19:00,1.875
88,19:15,2.5
88,19:30,2.5714285714285716
88,19:45,2.0
209,18:00,1.875
209,18:15,2.2857142857142856
209,18:30,2.875
209,18:45,2.7142857142857144
209,19:00,2.0
209,19:15,3.3333333333333335
209,19:30,2.857142857142857
209,19:45,3.0
